Timestamp,,Filename,Prompt,CLIP Score,PickScore,Temporal Consistency,Embedding Distance,Duration,TC per 4f,TC per 8f,TC per 12f,TC per 16f,TC per 20f,TC per 24f
2025-08-21 16:07:40,BoxingPunchingBag,Boxing-pixel_10s.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, pixel art style",0.3264,17.4964,0.9622,0.664799988269806,10.00 sec,0.9553,0.9494,0.9495,0.9486,0.9464,0.9476
2025-08-21 16:46:50,BoxingPunchingBag,15s.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, pixel art style",0.3344,17.2131,0.9642,0.656499981880188,15.00 sec,0.9572,0.9548,0.9523,0.9515,0.9504,0.9501
2025-08-21 16:52:13,BrushingTeeth,Brushing-anime1_10s.mp4,"A young girl with long blonde hair is brushing her teeth in a bathroom, anime style",0.3543,19.1977,0.9788,0.635900020599365,10.00 sec,0.9671,0.9621,0.9564,0.9507,0.9492,0.9473
2025-08-21 16:53:59,BrushingTeeth,15s.mp4,"A young girl with long blonde hair is brushing her teeth in a bathroom, anime style",0.3643,19.375,0.9807,0.626200020313263,15.00 sec,0.9717,0.9651,0.9592,0.9565,0.9533,0.95
2025-08-21 17:04:30,CleanAndJerk,CleanAndJerk-anime2_10s.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.3498,19.0303,0.9742,0.634999990463257,10.00 sec,0.9532,0.938,0.9257,0.916,0.909,0.9066
2025-08-21 17:05:58,CleanAndJerk,15s.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.3597,19.4598,0.974,0.625999987125397,15.00 sec,0.9614,0.9518,0.9429,0.9361,0.9327,0.9273
2025-08-21 17:08:41,Fencing,Fencing-anime1_10s.mp4,"Two focused fencers in white uniforms duel on a strip inside a large sports hall, anime style",0.3525,19.7619,0.9504,0.629599988460541,10.00 sec,0.9252,0.9156,0.9153,0.9093,0.9075,0.9059
2025-08-21 17:11:12,Fencing,15s.mp4,"Two focused fencers in white uniforms duel on a strip inside a large sports hall, anime style",0.363,19.5679,0.9401,0.616900026798248,15.00 sec,0.9179,0.9168,0.9101,0.9123,0.9079,0.9017
2025-08-21 17:14:04,GolfSwing,GolfSwing-anime2_10s.mp4,"A man is practising his golf swing on the green front lawn of a brick house, anime style",0.3093,19.5999,0.981,0.684000015258789,10.00 sec,0.9759,0.97,0.9676,0.965,0.9638,0.9585
2025-08-21 17:15:11,GolfSwing,animation-0002.mp4,"A man is practising his golf swing on the green front lawn of a brick house, anime style",0.3196,19.2522,0.9855,0.674499988555908,15.00 sec,0.9784,0.976,0.9742,0.9728,0.9701,0.9695
2025-08-21 17:16:18,SkateBoarding,SkateBoarding-anime2_10s.mp4,"A skater with a red backpack is carving on a paved road next to a snowy mountain, anime style",0.3438,18.4988,0.9634,0.641799986362457,10.00 sec,0.9418,0.9315,0.9206,0.9203,0.9171,0.9175
2025-08-21 17:17:28,SkateBoarding,15s.mp4,"A skater with a red backpack is carving on a paved road next to a snowy mountain, anime style",0.3463,18.6493,0.9611,0.636799991130829,15.00 sec,0.9425,0.9339,0.9227,0.9133,0.9065,0.9042
2025-08-21 17:22:17,BoxingPunchingBag,Boxing-pixel_prior0.3_cfg9.mp4,"A man wearing white tank top practices boxing, punching a red heavy bag in his garage home gym, pixel art style",0.3555,17.3599,0.9534,0.6327,3.00 sec,0.9345,0.9275,0.9397,0.9442,0.9291,0
2025-08-21 17:22:59,BrushingTeeth,Brushing-anime1_prior0.1_cfg5.mp4,"A young girl with long blonde hair is brushing her teeth in a bathroom, anime style",0.3691,19.6753,0.9778,0.6217,3.00 sec,0.9599,0.9496,0.941,0.9387,0.9035,0
2025-08-21 17:23:32,CleanAndJerk,CleanAndJerk-anime2_prior0.3_cfg9.mp4,"A strong man performs an impressive snatch, lifting a heavy barbell overhead in a gym, anime style",0.3519,18.6539,0.9713,0.6372,3.00 sec,0.9494,0.9375,0.9246,0.9129,0.9083,0
2025-08-21 17:24:14,Fencing,Fencing-anime1_prior0.1_cfg12.mp4,"Two focused fencers in white uniforms duel on a strip inside a large sports hall, anime style",0.3742,19.9872,0.9421,0.6096,3.00 sec,0.9252,0.9126,0.9044,0.9002,0.8929,0
2025-08-21 17:24:45,GolfSwing,GolfSwing-anime2_prior0.1_cfg5.mp4,"A man is practising his golf swing on the green front lawn of a brick house, anime style",0.336,20.7756,0.9849,0.6598,3.00 sec,0.9755,0.9739,0.9723,0.9673,0.9689,0
2025-08-21 17:25:25,SkateBoarding,SkateBoarding-anime2_prior0.1_cfg5.mp4,"A skater with a red backpack is carving on a paved road next to a snowy mountain, anime style",0.3482,18.5448,0.9572,0.6384,3.00 sec,0.9333,0.9197,0.9256,0.909,0.8927,0
